P_ID,P_Name,P_Salary,P_Proj,P_ID,P_Name,P_Salary,P_Proj,C_ID,C_Name,C_Salary,C_Proj,1B_ID,1B_Name,1B_Salary,1B_Proj,2B_ID,2B_Name,2B_Salary,2B_Proj,3B_ID,3B_Name,3B_Salary,3B_Proj,SS_ID,SS_Name,SS_Salary,SS_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,Total_Projection,Total_Salary,Avg_Ownership,Ownership_Product
42646408,Emerson Hancock,8500,11.27,42646294,Clay Holmes,8700,10.19,42646361,Cal Raleigh,5000,9.05,42646525,Nick Kurtz,5200,10.24,42646270,Marcus Semien,3300,5.77,42646412,Ezequiel Duran,2700,5.70,42646519,Jacob Wilson,3700,6.14,42646277,Joc Pederson,3000,6.30,42646287,Brandon Nimmo,4900,9.01,42646476,Evan Carter,4200,8.33,82.00,49200,20.2,2.0239e+1
42646426,J.T. Ginn,7300,12.34,42646523,Bradgley Rodriguez,4000,1.47,42646375,Shea Langeliers,5700,9.66,42646260,Freddie Freeman,5000,8.25,42646312,Jeff McNeil,3500,6.85,42646486,Max Muncy,3900,7.21,42646519,Jacob Wilson,3700,6.14,42646470,Tyler Soderstrom,4700,8.51,42646274,Nick Castellanos,3000,6.11,42646421,Andy Pages,4700,7.14,73.68,45500,16.8,1.6843e+1
42646514,David Morgan,4000,2.86,42646279,Blake Treinen,4000,3.42,42646341,Will Smith,4200,8.25,42646260,Freddie Freeman,5000,8.25,42646337,Jake Cronenworth,3400,6.49,42646486,Max Muncy,3900,7.21,42646281,Xander Bogaerts,4100,7.41,42646470,Tyler Soderstrom,4700,8.51,42646285,Teoscar Hernandez,4800,7.39,42646348,Kyle Tucker,6000,9.07,68.86,44100,13.4,1.3427e+1
42646451,Randy Vasquez,8000,10.09,42646294,Clay Holmes,8700,10.19,42646375,Shea Langeliers,5700,9.66,42646525,Nick Kurtz,5200,10.24,42646312,Jeff McNeil,3500,6.85,42646415,Josh Jung,2900,6.65,42646519,Jacob Wilson,3700,6.14,42646470,Tyler Soderstrom,4700,8.51,42646332,Ramon Laureano,4200,7.78,42646274,Nick Castellanos,3000,6.11,82.22,49600,20.2,2.0209e+1
42646408,Emerson Hancock,8500,11.27,42646445,Kumar Rocker,6700,9.47,42646361,Cal Raleigh,5000,9.05,42646349,Josh Naylor,3900,7.62,42646377,Josh Smith,3100,6.47,42646390,Brendan Donovan,4000,7.95,42646286,Francisco Lindor,4600,7.31,42646365,Luke Raley,3500,7.15,42646277,Joc Pederson,3000,6.30,42646359,Randy Arozarena,4200,7.82,80.41,46500,18.4,1.8373e+1
42646523,Bradgley Rodriguez,4000,1.47,42646426,J.T. Ginn,7300,12.34,42646375,Shea Langeliers,5700,9.66,42646260,Freddie Freeman,5000,8.25,42646508,Alex Freeland,3000,5.01,42646269,Max Muncy,4300,7.67,42646281,Xander Bogaerts,4100,7.41,42646470,Tyler Soderstrom,4700,8.51,42646285,Teoscar Hernandez,4800,7.39,42646421,Andy Pages,4700,7.14,74.85,47600,16.9,1.6850e+1
42646451,Randy Vasquez,8000,10.09,42646294,Clay Holmes,8700,10.19,42646320,Danny Jansen,3200,6.56,42646525,Nick Kurtz,5200,10.24,42646270,Marcus Semien,3300,5.77,42646486,Max Muncy,3900,7.21,42646302,Corey Seager,5000,9.93,42646277,Joc Pederson,3000,6.30,42646287,Brandon Nimmo,4900,9.01,42646476,Evan Carter,4200,8.33,83.63,49400,21.6,2.1645e+1
42646426,J.T. Ginn,7300,12.34,42646408,Emerson Hancock,8500,11.27,42646361,Cal Raleigh,5000,9.05,42646349,Josh Naylor,3900,7.62,42646312,Jeff McNeil,3500,6.85,42646390,Brendan Donovan,4000,7.95,42646339,Leo Rivas,2300,5.67,42646365,Luke Raley,3500,7.15,42646348,Kyle Tucker,6000,9.07,42646421,Andy Pages,4700,7.14,84.11,48700,19.1,1.9078e+1
42646445,Kumar Rocker,6700,9.47,42646420,Jack Dreyer,4000,1.73,42646341,Will Smith,4200,8.25,42646260,Freddie Freeman,5000,8.25,42646508,Alex Freeland,3000,5.01,42646269,Max Muncy,4300,7.67,42646286,Francisco Lindor,4600,7.31,42646518,Wyatt Langford,4000,8.93,42646476,Evan Carter,4200,8.33,42646287,Brandon Nimmo,4900,9.01,73.96,44900,18.3,1.8335e+1
42646451,Randy Vasquez,8000,10.09,42646426,J.T. Ginn,7300,12.34,42646505,Dalton Rushing,3100,6.49,42646525,Nick Kurtz,5200,10.24,42646508,Alex Freeland,3000,5.01,42646273,Manny Machado,4700,7.41,42646386,Hyeseong Kim,2600,4.67,42646489,Jackson Merrill,4500,9.22,42646421,Andy Pages,4700,7.14,42646348,Kyle Tucker,6000,9.07,81.68,49100,19.3,1.9251e+1
42646445,Kumar Rocker,6700,9.47,42646294,Clay Holmes,8700,10.19,42646361,Cal Raleigh,5000,9.05,42646349,Josh Naylor,3900,7.62,42646377,Josh Smith,3100,6.47,42646390,Brendan Donovan,4000,7.95,42646339,Leo Rivas,2300,5.67,42646277,Joc Pederson,3000,6.30,42646287,Brandon Nimmo,4900,9.01,42646422,Julio Rodriguez,4500,8.84,80.57,46100,19.7,1.9742e+1
42646408,Emerson Hancock,8500,11.27,42646284,Chris Martin,4000,2.22,42646505,Dalton Rushing,3100,6.49,42646260,Freddie Freeman,5000,8.25,42646377,Josh Smith,3100,6.47,42646412,Ezequiel Duran,2700,5.70,42646286,Francisco Lindor,4600,7.31,42646274,Nick Castellanos,3000,6.11,42646285,Teoscar Hernandez,4800,7.39,42646348,Kyle Tucker,6000,9.07,70.28,44800,14.8,1.4753e+1
42646343,Eduard Bazardo,4000,2.42,42646321,Gabe Speier,4000,2.26,42646375,Shea Langeliers,5700,9.66,42646260,Freddie Freeman,5000,8.25,42646377,Josh Smith,3100,6.47,42646269,Max Muncy,4300,7.67,42646302,Corey Seager,5000,9.93,42646518,Wyatt Langford,4000,8.93,42646476,Evan Carter,4200,8.33,42646285,Teoscar Hernandez,4800,7.39,71.31,44100,19.2,1.9235e+1
42646451,Randy Vasquez,8000,10.09,42646445,Kumar Rocker,6700,9.47,42646320,Danny Jansen,3200,6.56,42646260,Freddie Freeman,5000,8.25,42646377,Josh Smith,3100,6.47,42646269,Max Muncy,4300,7.67,42646302,Corey Seager,5000,9.93,42646277,Joc Pederson,3000,6.30,42646287,Brandon Nimmo,4900,9.01,42646388,Luis Robert Jr.,5100,6.93,80.68,48300,22.2,2.2174e+1
42646408,Emerson Hancock,8500,11.27,42646294,Clay Holmes,8700,10.19,42646361,Cal Raleigh,5000,9.05,42646525,Nick Kurtz,5200,10.24,42646312,Jeff McNeil,3500,6.85,42646390,Brendan Donovan,4000,7.95,42646519,Jacob Wilson,3700,6.14,42646422,Julio Rodriguez,4500,8.84,42646418,Dominic Canzone,3300,6.40,42646365,Luke Raley,3500,7.15,84.08,49900,18.7,1.8678e+1
42646284,Chris Martin,4000,2.22,42646426,J.T. Ginn,7300,12.34,42646375,Shea Langeliers,5700,9.66,42646454,Brett Baty,4000,5.95,42646270,Marcus Semien,3300,5.77,42646364,Bo Bichette,4100,6.22,42646286,Francisco Lindor,4600,7.31,42646274,Nick Castellanos,3000,6.11,42646332,Ramon Laureano,4200,7.78,42646421,Andy Pages,4700,7.14,70.50,44900,12.5,1.2471e+1
42646451,Randy Vasquez,8000,10.09,42646294,Clay Holmes,8700,10.19,42646320,Danny Jansen,3200,6.56,42646525,Nick Kurtz,5200,10.24,42646377,Josh Smith,3100,6.47,42646364,Bo Bichette,4100,6.22,42646286,Francisco Lindor,4600,7.31,42646277,Joc Pederson,3000,6.30,42646518,Wyatt Langford,4000,8.93,42646526,Carson Benge,3100,5.67,77.98,47000,17.8,1.7762e+1
42646408,Emerson Hancock,8500,11.27,42646426,J.T. Ginn,7300,12.34,42646361,Cal Raleigh,5000,9.05,42646349,Josh Naylor,3900,7.62,42646312,Jeff McNeil,3500,6.85,42646390,Brendan Donovan,4000,7.95,42646386,Hyeseong Kim,2600,4.67,42646418,Dominic Canzone,3300,6.40,42646470,Tyler Soderstrom,4700,8.51,42646365,Luke Raley,3500,7.15,81.81,46300,19.1,1.9105e+1
42646428,Hogan Harris,6800,1.52,42646445,Kumar Rocker,6700,9.47,42646341,Will Smith,4200,8.25,42646260,Freddie Freeman,5000,8.25,42646508,Alex Freeland,3000,5.01,42646269,Max Muncy,4300,7.67,42646302,Corey Seager,5000,9.93,42646418,Dominic Canzone,3300,6.40,42646287,Brandon Nimmo,4900,9.01,42646421,Andy Pages,4700,7.14,72.65,47900,17.9,1.7854e+1
42646451,Randy Vasquez,8000,10.09,42646294,Clay Holmes,8700,10.19,42646375,Shea Langeliers,5700,9.66,42646525,Nick Kurtz,5200,10.24,42646377,Josh Smith,3100,6.47,42646415,Josh Jung,2900,6.65,42646286,Francisco Lindor,4600,7.31,42646476,Evan Carter,4200,8.33,42646277,Joc Pederson,3000,6.30,42646412,Ezequiel Duran,2700,5.70,80.94,48100,20.9,2.0921e+1
42646408,Emerson Hancock,8500,11.27,42646445,Kumar Rocker,6700,9.47,42646320,Danny Jansen,3200,6.56,42646260,Freddie Freeman,5000,8.25,42646377,Josh Smith,3100,6.47,42646415,Josh Jung,2900,6.65,42646302,Corey Seager,5000,9.93,42646287,Brandon Nimmo,4900,9.01,42646421,Andy Pages,4700,7.14,42646285,Teoscar Hernandez,4800,7.39,82.14,48800,20.8,2.0755e+1
42646426,J.T. Ginn,7300,12.34,42646278,Wandy Peralta,4000,2.02,42646361,Cal Raleigh,5000,9.05,42646349,Josh Naylor,3900,7.62,42646337,Jake Cronenworth,3400,6.49,42646390,Brendan Donovan,4000,7.95,42646281,Xander Bogaerts,4100,7.41,42646422,Julio Rodriguez,4500,8.84,42646359,Randy Arozarena,4200,7.82,42646285,Teoscar Hernandez,4800,7.39,76.93,45200,15.8,1.5840e+1
42646343,Eduard Bazardo,4000,2.42,42646437,Alex Vesia,4000,2.60,42646375,Shea Langeliers,5700,9.66,42646260,Freddie Freeman,5000,8.25,42646312,Jeff McNeil,3500,6.85,42646269,Max Muncy,4300,7.67,42646519,Jacob Wilson,3700,6.14,42646470,Tyler Soderstrom,4700,8.51,42646489,Jackson Merrill,4500,9.22,42646348,Kyle Tucker,6000,9.07,70.39,45400,16.5,1.6546e+1
42646451,Randy Vasquez,8000,10.09,42646426,J.T. Ginn,7300,12.34,42646341,Will Smith,4200,8.25,42646260,Freddie Freeman,5000,8.25,42646312,Jeff McNeil,3500,6.85,42646269,Max Muncy,4300,7.67,42646286,Francisco Lindor,4600,7.31,42646440,Denzel Clarke,2200,5.45,42646348,Kyle Tucker,6000,9.07,42646421,Andy Pages,4700,7.14,82.42,49800,19.6,1.9619e+1
42646445,Kumar Rocker,6700,9.47,42646294,Clay Holmes,8700,10.19,42646320,Danny Jansen,3200,6.56,42646352,Ty France,2400,5.72,42646377,Josh Smith,3100,6.47,42646390,Brendan Donovan,4000,7.95,42646302,Corey Seager,5000,9.93,42646277,Joc Pederson,3000,6.30,42646422,Julio Rodriguez,4500,8.84,42646518,Wyatt Langford,4000,8.93,80.36,44600,19.2,1.9198e+1
